;0
10;" more options             Data Analyst (MNC)              Hays                        Hong Kong, Hong Kong SAR          On-site            1 week ago                            46 applicants                Full-time · Entry level5,001-10,000 employees · Staffing and Recruiting44 school alumniSee recent hiring trends for Hays. Try Premium for freeYou have a preferred skill badge       Applied 1 day ago                See application                              Data Analyst (MNC)            HaysHong Kong, Hong Kong SAROn-site       Applied 1 day ago               Show more options            Recommended for you    View assessments              You’ve taken 1 out of 2 Skill Assessments available.                          Prepare for interviews                          Practice your answers to common interview questions and get feedback.             A regional reporting analyst role with good exposure.Your new company Your new company is one of the leading and established consultancy firms in Hong Kong. The team is currently expanding, and you will take part in a team with regional exposure.Your new roleCollaborate with various end users from different countries / departments to gather and understand report specificationsBuild dashboards by Power BI and take an active role in data analysis and present the interpretations to end users / stakeholdersWork closely with Report Writing team (based in Australia) to ensure reports are developed per requirements and act as the contact point between Asia's end user and Report Writing teamPerform data analysis to support business objectivesWhat you'll need to succeedExperience in Data Visualization Tools such as Power BI and hands-on usage of accounting systems, ideally Microsoft Great PlainsAdvanced Microsoft Excel skillsExcellent stakeholder management, presentation, communication, and organisational skillsAbility to work under pressure and multi-taskWith a ""can-do"" attitude and proactive mindsetWork effectively with various stakeholders to deliver team/project objectives.What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or reach out to our consultant Corrine Chan via phone 2230 7423 or corrine.chan@hays.com.hk now. If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career.  "
11; salary and date of availability to the Human Resources Department by clicking Apply NOW.(Data collected will be used for recruitment purposes only.)All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.          
12;" more options             Data Analyst              GOGOX                        Hong Kong, Hong Kong SAR          Hybrid            1 day ago                            12 applicants                Full-time201-500 employees Alia B. is hiring for this jobSee recent hiring trends for GOGOX. Try Premium for freeActively recruiting     Easy Apply         Save            Save Data Analyst at GOGOX                     Data Analyst            GOGOXHong Kong, Hong Kong SARHybrid     Easy Apply         Save            Save Data Analyst at GOGOX                  Show more options              This role will be based in Hong Kong and will report to the Data Manager and work closely with the management team. As a key member of our Data team, you will be responsible for several data segments where you will work in partnership with local teams to help them leverage data to accelerate their various projects and initiatives.You will develop an in-depth understanding of business operations in order to provide the best analysis and tools (reports, dashboards etc) to support decision-making and performance management.What you will be delivering 📦Use statistical analysis to find patterns and draw insights from large data setsDesign, build and maintain reports and dashboards to enable local teams to make optimal business decisions;Perform data extraction and SQL querying upon request;Conduct in-depth, insightful, and skillfully presented analysis on business topics and trends;Uncover actionable insights to recommend a feasible solution, for different markets;Who you are 🤩Proficiency in data science oriented Python libraries such as Pandas, Numpy, Matplotlib and Seaborn Fundamental understanding of statistical methods and tests;Strong analytical skills and ability to tell a story from data and present it in a clear and compelling way;Proficient communication in English is a must;At least a bachelor’s degree in Computer Science, Applied Mathematics, Economics, or an other relevant field;Nice to have 🤔Experience using big data analytics tools such as Spark, PysparkUnderstanding of machine learning conceptsPrior usage of cloud computing platforms such as AWS, GCP or AzurePrevious experience using statistics or machine learning to solve problems or increase revenuePerks and Benefits 🏝️Birthday LeaveMedical and Dental insuranceStart-up Work Environment Flexible Work ArrangementFree flow of snacks and soft drinks GOGOX New Joiner Kit  "
13; people on projects across the company, supporting top-performing departments including software development, engineering, product, marketing, content, and people management.What you’ll be doingAs a Data Analyst, you will:Turn data into insights and actionable recommendations, delivering clear business value and impact. Design and build dashboards that visualize data insights so that relevant stakeholders can answer critical business questions.Deep dive on a subject area to evaluate available data sources, understand the definitions and limitations, and advise on usage. Work in partnership with data-engineering to implement ETL processes to derive appropriate analysis datasets. Collaborate with stakeholders to gain a clear understanding of their critical business problems. You’ll work on high-value projects, such as:User behaviours & segmentation Marketing campaign attributionCustomer churn & retentionTechnical operations metrics Customer support interactions Who we’re looking forYou’ll excel in this role if you:Can use data and insights to influence business decisionsAsk the right questions to truly understand what stakeholders needAre eager to grow your data analysis skills and learn from an expert teamHave an excellent eye for detail and always produce quality work Seek a fast-paced environment where you will make an impactWant to work alongside other intelligent and passionate peopleSkills you’ll need to succeedPlease get in touch if you have the following traits, skills, or experience:At least one year of experience in a Data Analyst / Business Intelligence Analyst role Proficient in SQL: You use SQL daily to manipulate data, join data from multiple sources, and derive insights. Experience with a visualization product (e.g.Tableau, Power BI).Delivering business value: You have a track record of delivering against stakeholder requirements, ensuring insights and recommendations are fit for purpose. Strong communication skills: You can explain complex concepts in straightforward and succinct language. Curiosity: You are inquisitive by nature, asking insightful questions to understand all facets of a problem and how that impacts the business. Project Management: You can be relied upon to take initiative and deliver your projects using excellent time management and prioritization skills. Attention to detail: You are conscientious in your approach, delivering high-quality, error-free work. You are fluent in English.Nice skills to have, but not required Proficient in Python for ad-hoc data analysis and automation. You are comfortable talking technology and communicating with developers on technical topics.What we can offer youChallenging work in a fun and collaborative environmentAttractive compensation and time-off benefitsSpacious open-concept and centrally located officesFinancially successful and profitable companyFull-time employment with flexible working hoursFully stocked pantry with healthy foods and fresh fruitTeam lunches and company events every quarterMulticultural teams represented by 30+ nationalities  
14;er transparency, more informed decisions, and fair access to information open the door to shared progress. With over 11,000 employees in more than 40 countries, Moody's combines international presence with local expertise and over a century of experience in financial markets. Learn more at moodys.com.Moody’s Investors Service is among the world’s most respected and widely utilized sources for credit ratings and research. Our opinions and analysis on a broad range of credit obligors and obligations are valued around the world for their insight and rigor.At MIS, our workplace culture supports our mission to be the Agency of Choice for our customers, employees and future employees. Our Culture focuses on Excellence and embodies behavioral qualities such as Integrity, Responsiveness, Collaboration, Respect and Passion. Our people are our core asset and we look beyond outcomes to ensure that behaviors and interactions matter.          
15;" more options             Data Analyst - Graduate Programme              FDM Group                        Hong Kong, Hong Kong SAR          Hybrid            3 weeks ago                            170 applicants                Full-time · Entry level5,001-10,000 employees · IT Services and IT Consulting18 school alumniSee recent hiring trends for FDM Group. Try Premium for freeActively recruiting     Easy Apply         Save            Save Data Analyst - Graduate Programme at FDM Group                     Data Analyst - Graduate Programme            FDM GroupHong Kong, Hong Kong SARHybrid     Easy Apply         Save            Save Data Analyst - Graduate Programme at FDM Group                  Show more options                   Posted by                  Benedict Chong             Recruitment Team Lead (Asia) at FDM Group                   Send InMailThere are thousands of graduates in the market — Stand out from the crowd! Technology is transforming all our lives – developments in robotics, automation, artificial intelligence and big data are creating the careers of the future. Digital careers need intelligent, analytical minds, people who want to make a difference; graduates who desire to be at the forefront of change.  Regardless of your degree subject, we believe all graduates possess the skills to fuel an exciting career in technology. We are currently seeking candidates interested in building a career in Data Engineering.As a Junior Data Engineering Consultant, you will design, develop and test a large-scale, custom distributed software system using the latest Big data technologies. You will be a technology advocate and share expertise with other team members. You will be a key partner to the business and the rest of the team throughout the delivery cycle and will work through challenging and interesting problems. Fast-track career progression is a key focus of FDM, and our program will put you on a pathway that could grow into leadership roles working within multinational organizations such as HSBC, Allianz, BNP Paribas and Manulife.Once you’ve completed your training, you will work on client site on innovative technology projects, collaborating with stakeholders across the business and developing software solutions that shape our digital future.  We help thousands of graduates each year start their tech careers and fast-track their career progression. We welcome applications from all degree disciplines. You don't need a STEM degree, but you must be passionate about starting a career in tech and have a good aptitude for IT. What we offer you: Industry-recognised training, covering both technical and professional skills, to ensure you are business ready. Opportunity to work with our market leading clients as part of their integrated teams. Comprehensive support and development programme throughout your entire FDM career journey including continued professional development, mentoring and networking events.  We ask you have the following: University degree (bachelor or higher) Eligibility to work in Hong Kong Exemplary communication skills and demonstrable interest and desire to work in technology Ability to commit to the full 2-year graduate careers programme  About FDM: FDM is the market leader in the Recruit, Train and Deploy sector, launching the careers of thousands of graduates, just like you, every year. Our purpose is to create and inspire exciting careers that shape our digital future. We want to make sure that the opportunity for a career in tech is available to everyone and we are proud to be an equal opportunities employer. Despite COVID-19, we launched 1,200+ careers globally in 2020.  The FDM Graduate Programme starts with training at the FDM Hong Kong Academy. Following this, you will be placed with one or more of our clients to work as part of their team as an FDM Consultant for a period of two years.  After the two years, you can continue your journey with FDM, you may be offered a permanent position with the client, or you can pursue other opportunities.  With centres across APAC, Europe and North America, FDM has shown exponential growth throughout the years, firmly establishing itself as an award-winning FTSE 250 employer.To find out more about us, follow us on social #FDMcareers.  At FDM it’s ‘business as usual’, we are recruiting now and throughout the year. Due to COVID-19 we have implemented alternative working arrangements to ensure that all our people stay safe. These consist of remote working, virtual training, video interviewing, and access to webinars and virtual events. We have training start dates happening throughout the year. If you’re looking to start your career in technology or business, we want to hear from you now!   "
16;":University graduates, Degree or Higher Diploma;5 years of relevant experience;With Insurance knowledge is an advantageCompetencies in Microsoft applications, such as Excel, PowerPoint, dashboard programming;Sound knowledge in Access, Excel spreadsheet, PowerPoint, charts, dashboard programming;Good communication skills and a team player; Strong sense of coordination, problem-solving skills and proactive;Able to achieve under tight deadlines and work independently;Good command of spoken and written English and ChineseAbout AIGAmerican International Group, Inc. (AIG) is a leading global insurance organization. Founded in 1919, today AIG member companies provide a wide range of property casualty insurance, life insurance, retirement products, and other financial services to customers in more than 80 countries and jurisdictions. These diverse offerings include products and services that help businesses and individuals protect their assets, manage risks and provide for retirement security. AIG common stock is listed on the New York Stock Exchange and the Tokyo Stock Exchange.Join our Talent Network at http://www.aig.com/careers/life-at-aig/join-the-talent-network. Additional information about AIG can be found at www.aig.com and http:// www.aig.com/strategyupdate | YouTube: http://www.youtube.com/aig | Twitter: @AIGinsurance | LinkedIn: http://www.linkedin.com/company/aig. These references with additional information about AIG have been provided as a convenience, and the information contained on such websites is not incorporated by reference into this press release.  "
17;Point, Access, and PowerPoint Ø Knowledge of S2P, S2C & Cognos is preferred.Ø Familiarity with Agile, JDE, Power BI, BOM structure convention, supply chain terminology & practices highly desirable  
18; more options             Data Analyst              csl                        Hong Kong, Hong Kong SAR          On-site            22 hours ago                            10 applicants                Full-time · Entry level1,001-5,000 employees · TelecommunicationsSee recent hiring trends for csl. Try Premium for freeYou have a preferred skill badge     Easy Apply         Save            Save Data Analyst at csl                     Data Analyst            cslHong Kong, Hong Kong SAROn-site     Easy Apply         Save            Save Data Analyst at csl                  Show more options                   Posted by                  Irene Wu                                  2nd                            Human Resources                   Send InMailData AnalystAs a member of our data analytics team in csl, you will responsible for target database list generation, data extraction, campaign tracking, business performance reporting, customer data analysis and provide fact-based data driven insights on customer behavior to support and drive business initiatives.Your rolePerform data extraction to fulfill marketing programs' requirementsCompile regular and customized reports related to business performance, service usage and customer analysisApply statistical modeling to identify business opportunities and areas for improvementPerform campaign tracking, assist in execution of standard data mapping jobs and verify data setsReveal and uncover insights by exploring and mining structured and unstructured dataProvide ongoing database support for segment marketing activities with well mechanism in maintaining an accurate and up-to-date databaseConduct user acceptance test of in-house-developed applications, as well as develop supervised and unsupervised machine learning modelsApply analytical methods and algorithms to build data products that generate business insights and improve operational efficiencyTo succeed in this roleUniversity graduate in Statistics, Computer Science, Information Technology, Data Science, Engineering or other relevant disciplines1 - 3 years' working experience in programming, data extraction, MISProficiency in relational databases - SQL, SAS, VBA and FoxPro, with knowledge and experience on Cognos, Excel, Python, Java, Java scriptPractical experience in working with BI visualization tools (e.g. Qlik View, Qlik Sense, Tableau) is an advantageTechnical knowledge on different server operating systems is preferredGood analytical and problem solving skills, able to work under tight timelineSelf-motivated and able to accomplish multiple tasks with minimal supervisionGood interpersonal and communication skills and able to work with people at all levelsGood command in both spoken and written EnglishCandidate with more experience will be considered for the position of Senior Data Analyst.HKT is an equal opportunity employer and welcomes applications from all qualified candidates. Information provided will be treated in strict confidence and will only be used for recruitment-related purposes.Personal data provided by job applicants will be used strictly in accordance with the employer's privacy statement (www.hkt.com/privacy-statement), a copy of which will be provided immediately upon request.  
19;Have a recognized degree in Mathematics, Statistics, Computing Science, Commerce or other related disciplinesProficient in SQL, Python, VBA is a plusInternship/ 1-3 years' work experience in the insurance or reinsurance industryAbility to handle multiple tasks with ease, set appropriate priorities, and manage time effectively while paying strict attention to detail Demonstrate ability to be a good team playerGood command of written and spoken EnglishWhat's On OfferMultinational working environmentExpanding businessStrong team spiritGlobal exposureWork-life balanceNice environmentStable cultureContact: Crystal CheukQuote job ref: JN-012022-4573600  
20;:Bachelor degree or above in Computer Science, Data Science, Mathematics, Statistics, Physics or related discipline or other related discipline1-3 years of experience working in Finance, Fintech industryStrong in Excel, PowerPoint, SQL2-3 years of experience in the similar field  
21; diversity of services, industries, clients, products, regions, and employees from various cultures. We are proud of our people: they are the best in the industry and the reason for our business success. They are passionate, energetic, and purposeful, positively touching millions of lives through the products and services we provide. Join us today if you are ready to “Drive Growth. Be the Difference.” With DKSH, you will experience a world of learning and development, own your career and take business responsibility, and have a positive impact that touches people’s lives.   
22; more options             Data Analyst/Scientist              PCCW GLOBAL Limited                        Wan Chai District, Hong Kong SAR          Hybrid            1 week ago                            29 applicants                Full-time · Mid-Senior level1,001-5,000 employees · Telecommunications2 school alumniSee how you compare to 29 applicants. Try Premium for freeActively recruiting     Apply         Save            Save Data Analyst/Scientist at PCCW GLOBAL Limited                     Data Analyst/Scientist            PCCW GLOBAL LimitedWan Chai District, Hong Kong SARHybrid     Apply         Save            Save Data Analyst/Scientist at PCCW GLOBAL Limited                  Show more options                          Job description:Key responsibilities Pulling, merging unstructured data and structuring the data in the appropriate manner, mining it, making relevant assumptions, building correlation models, proving causality, to identify business impact Preparing final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to take important decisions based on various facts and trends Use statistical methods, data visualization techniques, and machine learning algorithms to build predictive models and solve complex problems Generating and presenting monthly performance and statistical reports related to service delivery and operation Collaborating with stakeholders on clarification of data and on data integrity issues impacting reporting Removing corrupted data and fixing errors and related problems Filter data by reviewing reports and performance indicators to identify and correct code problems Assigning numerical value to essential business functions so that business performance can be assessed and compared over periods of time. Analyzing local and global trends that impact both the organization and the industry Working with programmers, engineers, and management heads to identify process improvement opportunities, propose system modifications and report automation strategies Person Specifications Basic Knowledge on software development principles and architecture Familiarity with programming for data analysis (ideally Python, SQL, or R), machine learning, AI and data management tools Knowledge of Cloud technologies Ability to break down and understand complex business problems, define a solution and implement it using advanced quantitative methods Solid oral and written communication skills, especially around analytical concepts and methods Ability to communicate complex data in a simple, actionable way Ability to visualize data in the most effective way possible for a given project or study Excellent analytical and problem-solving skills Ability to work independently and with team members from different backgrounds  
23;s Knowledge – Is willing and able to share expertise and knowledge with others. Is transparent and willing to learn from successes and mistakes, and helps others to do the same Challenges Assumptions - Is willing to challenge assumptions and to confront the status quo. Looks for opportunities to be innovative and creative. Knows when and how to challenge others    
